epoch,train_loss
0,768.2448120117188
1,559.6654663085938
2,542.419677734375
3,536.5690307617188
4,532.02685546875
5,527.947021484375
6,524.22802734375
7,520.8638305664062
8,517.82568359375
9,515.0880126953125
10,512.607666015625
11,510.3395080566406
12,508.2892761230469
13,506.4017333984375
14,504.654296875
15,503.0347900390625
16,501.497802734375
17,500.04925537109375
18,498.6961975097656
19,497.41644287109375
20,496.2042236328125
21,495.0489196777344
22,493.94818115234375
23,492.9036865234375
24,491.90802001953125
25,490.9686279296875
26,490.0627136230469
27,489.2176513671875
28,488.38983154296875
29,487.6074523925781
