gene,mean_vcm3,mean_rest,log2fc,pval,fdr
ANKRD1,3.2526264,2.4775033,0.39271808,6.343722946517262e-254,5.951680868422495e-250
FHL2,2.3397148,3.024799,-0.37050653,6.544663097377697e-225,3.0701014589798776e-221
FGF12,2.2815397,2.9580233,-0.37462544,1.2128143173112928e-202,3.7928746416715166e-199
ACTA1,2.024426,1.3853323,0.54728055,1.6874739294670068e-176,3.9579701015648646e-173
PALLD,3.6948626,3.23008,0.19395077,2.155817450350974e-170,4.045175863838568e-167
MYO18B,2.4853883,1.9504094,0.34969407,3.570220814577228e-161,5.582635280393926e-158
FLNC-AS1,0.7373014,0.23005985,1.680241,1.518721451176963e-157,2.0355206649917523e-154
FHL1,1.3965144,0.92055714,0.6012507,2.5874942502459603e-146,3.03448388197595e-143
XIRP2,1.1315124,0.65903413,0.7798263,1.3606932278678592e-138,1.4184470959840285e-135
MYH9,0.99756753,0.5795469,0.7834879,1.99299301860957e-124,1.8698260500594986e-121
MYPN,1.6204059,1.1909282,0.4442685,7.31056468531688e-124,6.235247079785725e-121
CREB5,1.1276581,0.7225764,0.64210695,4.435954876765052e-118,3.4681773878174768e-115
DCBLD2,1.0327995,0.6394059,0.6917553,1.32567204650357e-111,9.567273184843457e-109
DLG1,1.4694004,1.039353,0.49954146,1.0843978281777633e-108,7.267014588545554e-106
CALD1,2.5594919,2.1088133,0.27942598,1.2596487323211115e-108,7.878682937757778e-106
FLNC,0.69271874,0.34662753,0.99888134,4.916597422326963e-108,2.882969813516973e-105
RRAS2,0.8587217,0.49904197,0.7830282,8.962319992487048e-108,4.946146245265499e-105
EIF2AK3,0.8297381,0.4539176,0.8702241,6.405967794274545e-107,3.338932769215766e-104
NRAP,1.7083595,1.3026084,0.39120793,1.4871683553327678e-106,7.343480794595804e-104
ATP2B4,1.0347716,0.6610333,0.6465167,2.1676276819442154e-99,1.0168341456000315e-96
OBSCN,2.0660603,1.6918768,0.28825766,3.922341756050783e-99,1.752352874060402e-96
DDX60L,1.1539551,0.802998,0.52311814,2.9441324316864983e-95,1.2555386579128513e-92
PDE3A,2.8445075,3.0881028,-0.118541956,2.2536167401598565e-93,9.192796633121641e-91
CSGALNACT1,0.62211424,0.967155,-0.6365667,8.344625887645648e-93,3.2620533365788115e-90
STYXL2,0.92334557,0.5941945,0.6359346,1.698961343771923e-88,6.3758621309072725e-86
VCL,2.0502152,1.7202822,0.25312996,1.9625651994799005e-88,7.081841039046318e-86
ANKRD2,1.0825045,0.6657549,0.7013091,6.137764511531493e-88,2.1327595054514248e-85
ADGRL2,0.80762,1.1328688,-0.4882316,1.4149162836759042e-87,4.740980204802619e-85
CORIN,0.16012645,0.47701603,-1.5748203,2.862763317113272e-86,9.261532910743695e-84
FLNB,0.84367484,0.4805832,0.81189966,3.984277832624449e-85,1.2460164875227527e-82
CACNB2,2.2870016,2.6170313,-0.19447374,8.333540800509249e-84,2.522105799689606e-81
MYL12A,1.5851167,1.2362605,0.358606,3.7809130918436454e-83,1.1085164571149089e-80
C6,0.41976076,0.76090485,-0.85814714,4.770150351084843e-83,1.3561681998144848e-80
SGCD,2.6520052,2.937532,-0.1475209,4.8222486187442695e-83,1.330656957089963e-80
ACTN2,2.6885612,2.3935883,0.16765916,2.961297335926809e-82,7.937969030190092e-80
NPPB,1.1897016,0.616531,0.9483531,3.6909886391524803e-82,9.619126503480158e-80
GRAMD1B,0.6146932,0.94786876,-0.62481993,1.1549313139342136e-81,2.928531239819133e-79
JAK2,1.0787584,0.74187183,0.5401292,1.6346690058431895e-80,4.035911740216001e-78
XPR1,2.3409371,1.961952,0.2547964,3.251581743680803e-80,7.82213844082392e-78
ZDHHC14,0.9559265,0.63210577,0.5967329,3.289718295706597e-80,7.716034262579823e-78
TNFRSF12A,0.40451995,0.17142172,1.238656,6.018404974796597e-78,1.377187206671748e-75
EXOC6B,2.7220535,2.4140027,0.17326808,1.7680457879312303e-77,3.949477519612096e-75
ROR1,2.0865982,1.7361946,0.26522398,2.035857487681227e-74,4.4419569649826217e-72
ST3GAL6,1.2730235,0.99502414,0.3554552,4.8467500538949795e-73,1.0334592955827885e-70
PLCE1,0.7658499,0.4944029,0.6313734,5.084309115098187e-71,1.060021958174471e-68
CPNE5,0.2707847,0.57247096,-1.0800534,1.2633010145431298e-70,2.576584808357314e-68
ACTN4,1.1094881,0.82296824,0.43098503,6.416740194749008e-69,1.2808905639815998e-66
GBE1,1.6334095,1.2712884,0.36159492,1.199189046221247e-68,2.3439149232599455e-66
LINC00702,0.5987773,0.33186218,0.85143334,1.0851751674030184e-67,2.077778249096963e-65
ENSG00000238273,0.49881488,0.809288,-0.69814765,7.193264516188691e-67,1.3497441538176459e-64
FBXO32,0.78510803,1.0933241,-0.4777574,1.3237024144243566e-65,2.435093343554767e-63
ACACB,1.480608,1.7086504,-0.20666736,6.513887309146198e-64,1.1752555910463389e-61
SLC16A7,0.9492433,1.2215596,-0.36387408,1.3709406441681543e-62,2.4268236082237028e-60
ATP2A2,1.6991748,1.9561394,-0.20317489,3.264981627657737e-62,5.672603264941646e-60
CACNA2D1,1.9455194,1.686945,0.20574236,1.5087505386373278e-61,2.5736541006355293e-59
CYP2J2,0.7719704,0.5435537,0.5061221,4.667911660344945e-61,7.820419142385048e-59
MYL2,2.4539459,2.1681716,0.17862439,5.6371508322911906e-61,9.278552475185255e-59
ATP6V1F,0.33258793,0.09273444,1.8425474,7.17350885090843e-61,1.160376897227981e-58
CCDC141,1.0735681,1.3208392,-0.29904085,1.288149847719668e-60,2.0483765883569367e-58
BDNF,0.42009676,0.17901337,1.2306498,1.5985181232364545e-60,2.499549505367403e-58
LAMA2,3.8545651,3.5795126,0.10680497,6.444580415983948e-60,9.91197597750187e-58
MLIP,2.9042332,3.0578387,-0.07435489,6.765335115296649e-59,1.0237479685760188e-56
LINC01880,0.05269085,0.2849931,-2.4352803,7.528152825695904e-58,1.1210972985822058e-55
CHRM2,1.1584599,1.4459115,-0.31977093,2.9158880760106515e-57,4.274509676426864e-55
IL1RAPL1,1.3039649,1.6585591,-0.3470252,7.452183236034758e-57,1.0756366633919707e-54
INPP4B,2.137082,1.8050511,0.24360251,2.1584630334905653e-56,3.0682879060921945e-54
LRMDA,0.46789575,0.7679759,-0.7148727,4.7321130655521396e-55,6.62637086283734e-53
ENSG00000232464,0.5353886,0.3171156,0.7555756,2.692292794606027e-54,3.714572205734375e-52
LDLRAD4,1.329542,1.6458687,-0.30791965,9.333966936924053e-53,1.2691489536553836e-50
KCP,0.27535775,0.060184315,2.193829,1.073407483280655e-52,1.4386727154484436e-50
TRDN-AS1,1.9570976,2.2037418,-0.17123932,1.5153792869358078e-52,2.0024349957791196e-50
MAP4,2.195985,1.9414148,0.1777597,1.8440026211284552e-52,2.4028378599204397e-50
ATP13A3,1.0547119,0.7930558,0.41135424,3.886872120428186e-52,4.995429347103732e-50
TMEM178B,1.0028557,1.3317258,-0.4091828,4.869964403717228e-52,6.174325139956086e-50
MLF1,0.70173186,0.96044695,-0.4527855,7.175497092961406e-52,8.976068496821854e-50
MALAT1,7.45146,7.2685018,0.035865307,2.6409171658684266e-51,3.260142743444418e-49
SPHKAP,0.7407167,0.9810124,-0.40534905,1.0841697136928084e-50,1.3209974355670035e-48
NEXN,3.0163653,2.7913597,0.11184311,1.2151038310018719e-50,1.4615518131358412e-48
MYOM2,1.8612533,2.1065297,-0.17859381,2.8237891983565336e-50,3.3535177543013926e-48
SLMAP,1.6927555,1.4437783,0.22952425,3.4910932008788856e-50,4.094179551330713e-48
TPM3,0.54946274,0.2735528,1.0061996,1.1778977248177111e-48,1.364325488177749e-46
PXYLP1,0.5184015,0.31438988,0.7215133,2.7859205781609337e-47,3.187500837110473e-45
LINC02147,0.26461682,0.557301,-1.0745491,2.838074334678735e-47,3.2080498081874564e-45
AQP7,0.59832126,0.814206,-0.44447285,4.3084978159372225e-47,4.81218172727655e-45
AOPEP,2.1641061,1.9441178,0.15465558,4.806481182200554e-47,5.3052242884006594e-45
ENAH,1.1191614,0.8683924,0.3659986,5.031836146326277e-47,5.489382177306178e-45
DAPK2,1.0187482,1.3035223,-0.35561755,3.1834960038812975e-46,3.4330528170591184e-44
CD36,2.270197,2.4472964,-0.10837138,3.4643496905371078e-46,3.693469181433994e-44
HRAT17,1.3288898,1.0517017,0.33749574,4.469345427574493e-46,4.711393123764482e-44
FRY,2.3652256,2.128725,0.15198815,1.1043506957705738e-44,1.1512242475243914e-42
PDE4DIP,3.0182533,2.8361385,0.08978593,2.0518722875112065e-44,2.1154577803769384e-42
AUTS2,0.62165946,0.8547829,-0.4594329,9.20360815250467e-44,9.385679531173784e-42
GPA33,0.4583459,0.26159215,0.80911505,3.229598191167794e-43,3.2580742182297035e-41
SRGAP3,0.79566437,0.57917094,0.45817006,6.242865490005919e-42,6.230911066727184e-40
PTPN14,0.92375565,0.69200706,0.41672397,6.333778948326988e-42,6.255106746653032e-40
ABLIM1,3.002376,3.1209717,-0.05589056,1.3689492830946802e-41,1.3378627264577385e-39
MFGE8,0.6493588,0.45798713,0.5037078,7.989668787827826e-40,7.727739439938212e-38
ENSG00000274265,1.7564626,1.5553877,0.17539847,1.5611984882344484e-39,1.4946085935322036e-37
CPVL,1.0881038,0.8698023,0.3230563,2.8812739548589763e-39,2.7305163883320117e-37
LARGE1,2.5400453,2.259326,0.16896164,4.9967230927186295e-39,4.687925605588618e-37
MYLK3,1.2317553,1.4444453,-0.22979975,5.2729506710225015e-39,4.8981013064884264e-37
SH3BGR,0.39049122,0.20035014,0.9627632,7.041548535507167e-39,6.476843956875318e-37
ARL15,0.82996255,1.0851088,-0.38672101,8.310819896339217e-39,7.570107987131509e-37
ASB18,0.83409065,0.6289022,0.40736794,2.2324159672463174e-38,2.0138967889139375e-36
PPP1R12B,2.0423377,2.2326875,-0.12855983,4.874366892509734e-38,4.3553628748120304e-36
DAPK3,0.68135184,0.48098278,0.5024138,8.285320549603405e-38,7.333290320413127e-36
TENM2,1.4131625,1.6249588,-0.20147562,1.748682404608595e-37,1.5332839551437233e-35
ESRRG,1.836291,2.0260267,-0.14185846,1.769466545328501e-37,1.5371421415066662e-35
STK38L,0.8472817,0.62426007,0.4406939,1.8260448777656022e-37,1.571738811302466e-35
ASB15,0.6356067,0.82151526,-0.3701525,2.557626224566749e-37,2.1814226580804765e-35
NCALD,0.18849708,0.40218073,-1.0932977,8.177765317087136e-37,6.912053531974011e-35
SORT1,0.9018634,0.6987011,0.36823305,1.299472233272725e-36,1.0885400439789917e-34
LINC02208,0.15307912,0.35172388,-1.2001605,2.6051527567242852e-36,2.1629684215563933e-34
CASQ2,1.3978205,1.2061747,0.21274,2.988853461271747e-36,2.4597739626010114e-34
CFL2,0.5227886,0.3636269,0.5237675,3.508849456872233e-36,2.8626109221195906e-34
CUX1,1.7417512,1.5558208,0.16286254,3.819628190934264e-36,3.0892889385642467e-34
INSR,1.7613758,1.5464411,0.18775076,1.0300200909232273e-35,8.259528626531385e-34
PLCB4,0.8781185,1.0759778,-0.29316035,1.0933773712540967e-35,8.693276692462657e-34
MYO18B-AS1,0.40131092,0.23415157,0.7772753,1.1651026598207112e-35,9.185708533141102e-34
DMD,3.7143574,3.464348,0.10052872,1.192657487193374e-35,9.324593787373529e-34
SMC5,0.70298153,0.5199564,0.43509537,1.6581679694676795e-35,1.2856968503756834e-33
HIPK2,1.2336732,1.032352,0.25702515,2.35314524340222e-35,1.8096072683278385e-33
CDH13,1.794932,2.0166671,-0.16804367,4.927073493347195e-35,3.758195407689706e-33
MAPRE2,1.2702806,1.0678552,0.2504309,6.74558529586988e-35,5.1037968746654204e-33
WNK2,0.70507157,0.8948218,-0.3438303,8.027974781385696e-35,6.025476751916848e-33
ART3,0.35631838,0.55818415,-0.6475727,1.1900580123698544e-34,8.861209739725377e-33
LINC01505,0.97583455,1.2305357,-0.3345777,3.011103803976516e-34,2.224423298339187e-32
RBFOX1,1.3413709,1.5330021,-0.19265133,5.477217653426593e-34,4.014629376910023e-32
ENSG00000249806,1.1032147,0.8589555,0.36105788,1.7061061725468054e-33,1.2408285357235757e-31
KANK1,1.8638511,2.0340276,-0.12605262,3.398597814015643e-33,2.4527418993149816e-31
RABGAP1L,2.501123,2.2350101,0.1622945,4.2567478488588225e-33,3.0486113219842346e-31
NUDT4,0.5458611,0.7339282,-0.4271043,6.356844780236415e-33,4.518175585468034e-31
LINC01091,0.37300962,0.18684068,0.9974003,1.0629260552072715e-32,7.498024248086182e-31
ADGRL3,0.8122837,0.58063364,0.4843548,1.9205482298279088e-32,1.3446704098690628e-30
CYRIB,0.80056614,0.6464658,0.30844617,2.4019522478001753e-32,1.669267851026759e-30
FGF12-AS1,0.23935965,0.39502412,-0.72275853,3.5912961643285254e-32,2.477466221597811e-30
ABCC9,0.4558149,0.6305635,-0.46819276,4.5833251690288286e-32,3.138741367578721e-30
GBX2-AS1,0.6261395,0.42086074,0.57314,6.69655983960231e-32,4.5526901750107874e-30
FHOD3,2.076507,2.2428133,-0.11115074,2.7536315827229975e-31,1.8586022668422418e-29
DNAAF3,0.558698,0.4028584,0.47179478,3.4019089283464033e-31,2.279764968981854e-29
MYL9,0.8748284,0.6906031,0.34114286,5.391930830056683e-31,3.587737237417858e-29
EYA4,1.3526274,1.1085763,0.2870562,5.672742999140399e-31,3.7480052688686775e-29
ITGB1,0.8039739,0.61780035,0.38000748,1.015682531411893e-30,6.663729727067399e-29
ADRA1A,0.4814642,0.6734254,-0.48408872,4.885338604095303e-30,3.1829338044182034e-28
BCL2,0.8160068,0.59964997,0.44445992,5.0533647747505415e-30,3.2697012632213503e-28
CNTNAP3B,0.09788156,0.2615776,-1.418121,5.155773427101043e-30,3.31311412966178e-28
FARP1,0.31501564,0.15417618,1.0308388,1.470031991389668e-29,9.382204179059772e-28
DYSF,0.750246,0.5726364,0.38974366,1.7699829893221266e-29,1.1220257030959589e-27
DDX5,1.5326021,1.3607149,0.17161822,3.303670810244357e-29,2.080203996088091e-27
HECW2,0.9256413,0.7526743,0.2984272,4.35071578336221e-29,2.721227698633617e-27
XIRP1,0.32193768,0.17249529,0.90022063,4.470842098041503e-29,2.7778437459487007e-27
LINC02253,0.4526067,0.29033577,0.6405338,4.5022197823925053e-29,2.7789359209477947e-27
LINC02984,0.40787095,0.5809611,-0.5103278,6.869167537660671e-29,4.212191492701465e-27
CBLB,1.9331951,2.0897944,-0.11237365,9.068615951481039e-29,5.524789276415267e-27
IGF1R,1.7786064,1.5802002,0.17063987,9.631813490627769e-29,5.830043494778692e-27
PHACTR1,1.5145152,1.7410995,-0.20114249,9.809613208072393e-29,5.899601994752256e-27
PPM1K,1.423213,1.6124666,-0.18011749,3.0489574523596322e-28,1.8219948291743994e-26
EGLN3,0.49033967,0.3315195,0.5646863,3.244911666910835e-28,1.9268203328454085e-26
OTUD1,0.30541188,0.15430805,0.9849384,4.276370035339824e-28,2.5233272749407693e-26
PSD3,2.2487059,2.4142604,-0.10248625,4.960851853648219e-28,2.908919505682974e-26
PDLIM3,1.2720842,1.0575429,0.26647776,6.613015495818341e-28,3.853621824954514e-26
SH3D19,1.5901264,1.4044194,0.17916748,7.817702790949758e-28,4.52751157930189e-26
CAP2,1.048911,0.8923428,0.23322196,7.8533120040628506e-28,4.5202314860194885e-26
SAMD4A,1.9681159,1.800918,0.12808263,8.704920464462148e-28,4.9798514510721867e-26
TGFBR3,0.40862596,0.5846885,-0.51688623,1.234077020830924e-27,7.01703673299135e-26
PDE7B-AS1,0.17589563,0.33824462,-0.9433434,1.3583637176563547e-27,7.67720987894694e-26
HSPG2,0.7498668,0.5931695,0.3381894,1.8327820386684635e-27,1.0296503644782948e-25
TNNT1,0.5690166,0.43198112,0.3975016,2.71196929258689e-27,1.5145057085148928e-25
TBX5,0.48408777,0.64985675,-0.42485237,3.274215957761405e-27,1.8176742080306213e-25
PLCL2,1.24348,1.4205649,-0.1920813,3.3585643501427605e-27,1.85353239606114e-25
MAST4,2.2332087,2.3664849,-0.08362758,3.789800451359689e-27,2.0792928558278715e-25
PRELID2,0.2383176,0.41323677,-0.7940805,4.3648675590425914e-27,2.3808829906359067e-25
RICTOR,1.3368405,1.157663,0.20761189,5.27714429956404e-27,2.861859411474556e-25
C5AR1,0.2861783,0.153674,0.8970369,7.688669469335046e-27,4.145695227661e-25
SVIL,2.7170017,2.5181758,0.109636426,9.241130817035065e-27,4.954302247167027e-25
ATP1A2,1.0484805,0.8786006,0.25502032,1.0086301825369023e-26,5.376686575318873e-25
HDAC2-AS2,0.24305955,0.10510484,1.2094729,1.1025338018181994e-26,5.844052050089461e-25
CRIM1,0.7953236,0.63030875,0.33548284,1.339058727931162e-26,7.057892688455146e-25
SMYD3,0.6548028,0.85034615,-0.37698922,1.784799172606988e-26,9.354740691284224e-25
AMOTL1,0.42268634,0.27627578,0.61347663,2.042780850633191e-26,1.0647427744800332e-24
KALRN,1.2230192,1.0657383,0.19859368,2.0931063282231098e-26,1.0849460536679126e-24
PEAK1,1.2576431,1.097515,0.19648178,2.226468719445269e-26,1.1477323915294237e-24
CLIC4,0.86436194,0.71116555,0.28144976,2.5032361113462924e-26,1.2833530708552413e-24
PDE8A,0.9013361,0.7429588,0.2787826,4.9619660587528255e-26,2.53006334582712e-24
TPD52L1,0.74666935,0.5849733,0.35209823,5.285219172238512e-26,2.680320339131985e-24
MAGI1,2.5829856,2.417687,0.095412135,7.601208819886846e-26,3.834115115493462e-24
DPYD,0.5064674,0.65977645,-0.38150722,7.787742440120434e-26,3.907197838139567e-24
PPP1R13B,1.2132831,1.3842903,-0.19023025,9.243731945674299e-26,4.6130155911870364e-24
CPED1,1.6196846,1.432059,0.17762184,1.184164968300197e-25,5.8782199643346274e-24
TGM2,0.6725799,0.5176117,0.3778348,1.36359581956209e-25,6.73329262059554e-24
MCC,0.4428063,0.57533103,-0.3777157,1.972712433618537e-25,9.690046100633044e-24
ADAM19,0.35885334,0.21314375,0.751565,2.2545327655894554e-25,1.1016680420187641e-23
PDZRN3,1.7075083,1.8699291,-0.13109082,2.926037674559056e-25,1.422387847808967e-23
LPL,1.7688512,1.557057,0.18399078,5.932996836890748e-25,2.869246202253041e-23
MACF1,1.6591109,1.5097823,0.13606972,6.823263372805639e-25,3.282864459675e-23
TMTC1,0.725838,0.907999,-0.3230427,1.3729176970050487e-24,6.571792772092535e-23
SSBP2,0.8957807,0.7265809,0.3020217,1.6995159249916944e-24,8.093836755468059e-23
GPD1L,0.4496618,0.60039836,-0.4170789,2.064955242990407e-24,9.784550550371718e-23
DPF3,1.1078708,1.2996848,-0.23037189,3.51394784099125e-24,1.6566763137778849e-22
DLG2,2.3225684,2.4348383,-0.068104744,3.55355811198976e-24,1.6669741103343963e-22
IFRD1,0.61042434,0.4813806,0.34263378,5.6538299098376716e-24,2.639016528064529e-22
SIK3,1.4622791,1.3091824,0.15955245,6.233683324547602e-24,2.895268165886416e-22
ELF1,1.2384999,1.0643023,0.21868554,7.027674825468072e-24,3.2479628183517954e-22
NCEH1,0.61686146,0.7943787,-0.3648799,8.017082340176777e-24,3.687071888016594e-22
KLHL7,0.83049595,0.9881831,-0.25080493,8.36228429531068e-24,3.827070793102673e-22
PCDH9,2.325146,2.0873005,0.15568292,8.921662682231293e-24,4.063254334208446e-22
PLCXD3,1.9082676,2.0931323,-0.13339996,1.0318931425910009e-23,4.676918581540469e-22
ALPK3,0.9703587,0.83009523,0.2252411,2.2809527468007113e-23,1.0288412822348207e-21
FADS3,0.4041651,0.29572362,0.45069396,3.185900720658469e-23,1.4301493091491749e-21
CADM1,1.0091758,0.88650304,0.18697971,3.3164898584295947e-23,1.4816813262755456e-21
SH3RF2,0.24612617,0.3935954,-0.6773131,4.9909893004367784e-23,2.219216190364827e-21
CDH2,2.3007793,2.1386108,0.1054486,6.185519637266449e-23,2.7373842092846146e-21
TTN-AS1,2.9955242,2.7970479,0.09890354,7.268679265265601e-23,3.2016314021935155e-21
ZNF385D,0.6639751,0.4458432,0.57459176,7.836074701031319e-23,3.435423030143731e-21
CAV2,0.893118,0.75993466,0.23297516,8.067842176110771e-23,3.520581176570756e-21
PDE7B,0.23330724,0.4027488,-0.7876468,8.088967115209352e-23,3.513457846059914e-21
NT5C2,0.9192035,0.76106244,0.27236915,8.833442900782125e-23,3.819141073508659e-21
UGP2,0.80193216,0.6572323,0.28707644,1.00091037381639e-22,4.307587673002464e-21
PIK3R1,1.6008043,1.7612778,-0.13782543,1.1579115338612247e-22,4.960514160130598e-21
CHST9,0.13437638,0.28944254,-1.1069916,1.3534935475993874e-22,5.7720347561715696e-21
PEBP4,0.69395673,0.8756049,-0.33543396,1.509148993146737e-22,6.406713055974066e-21
KCNMB2-AS1,0.62489957,0.8536519,-0.45002288,1.695249794007119e-22,7.164339444763419e-21
MYL7,0.6667416,0.45268127,0.5586311,1.867435223218191e-22,7.856626575889268e-21
ROCK2,0.61392605,0.48956323,0.32656914,2.694237617748353e-22,1.1284525593622788e-20
FNDC3B,2.0438368,1.8723016,0.12646717,2.822631227393371e-22,1.1769744966846492e-20
MAPK4,0.8000958,0.62516606,0.35593274,2.91549738880961e-22,1.2103184292837063e-20
NIBAN1,1.7600609,1.5784649,0.15710312,3.798917242283253e-22,1.5701075580220915e-20
LINC03002,0.21959263,0.3610212,-0.7172513,4.536528100107812e-22,1.8667415190882233e-20
ST3GAL1,1.07775,1.2331107,-0.19427961,7.369457157145342e-22,3.01922476193614e-20
ARHGAP31,0.48960692,0.6383992,-0.3828342,8.773366676435817e-22,3.5787707025356887e-20
LINC02248,0.19871353,0.3736031,-0.9108131,8.78958223264899e-22,3.5698640911996893e-20
CTIF,0.5888018,0.4450004,0.4039746,1.4866473260245137e-21,6.011950522742236e-20
PAG1,0.44771883,0.33071405,0.43700755,1.5503516188358019e-21,6.242660466917378e-20
MMP23B,0.41980672,0.3037404,0.46688497,1.5888977059915227e-21,6.370529178466866e-20
LIMCH1,1.4541345,1.5977651,-0.13589454,1.6147611529647849e-21,6.446676228559835e-20
CACNA2D3,0.6000451,0.7987065,-0.41259387,1.6888973033892504e-21,6.71408241542286e-20
ENSG00000248752,0.13659771,0.27863744,-1.0284505,1.9531945227959016e-21,7.732013085599642e-20
PICALM,0.95818144,0.79537505,0.26866323,2.049422060277481e-21,8.07885620568207e-20
TECRL,1.891033,2.0419881,-0.11079985,2.2503982923307906e-21,8.833990283952919e-20
ENSG00000240291,0.6892704,0.8473779,-0.29793507,2.818759423545872e-21,1.101900037987807e-19
BMPR1A,1.217214,1.0488384,0.21479025,2.836573572899188e-21,1.104262790910381e-19
MB,1.2141147,1.3629069,-0.16678223,4.108701316201697e-21,1.5928857747357158e-19
MGAT5,1.0118182,1.1936634,-0.23844576,4.382036461050358e-21,1.691862801546274e-19
HOOK2,1.303648,1.1254759,0.21201906,4.6055625017638956e-21,1.7708765324405273e-19
DNAAF3-AS1,0.46632776,0.3437291,0.4400711,5.449295097414655e-21,2.0867463919977263e-19
LTBP1,1.9136219,1.6876338,0.18130386,5.589180485701927e-21,2.1316134681648568e-19
RTN3,0.42466113,0.30287373,0.48759413,6.428680949988057e-21,2.4418576790602406e-19
TMEM131L,0.7612292,0.60611,0.32875082,7.244034933191373e-21,2.740465150935543e-19
DGLUCY,1.0901197,1.2367613,-0.18208039,8.602504479209954e-21,3.2413131334918787e-19
ASAP1,1.1221341,0.9704288,0.2095505,1.0060270872923261e-20,3.7754184531906413e-19
PXN,0.3151542,0.20624228,0.61171544,1.3603604321714927e-20,5.084821344475276e-19
ABHD2,1.1670698,1.0088927,0.21011797,1.4296129960809175e-20,5.322471876679036e-19
LATS2,0.58423376,0.44575214,0.3903032,1.4375509093889437e-20,5.33087060548896e-19
ENSG00000282917,0.10079994,0.26872054,-1.414603,1.5366236425252384e-20,5.675827958335349e-19
CNKSR3,0.659744,0.53617126,0.29921198,1.6438853937875302e-20,6.048208927260631e-19
EDA,0.43527403,0.5731508,-0.39699,1.7526112321228793e-20,6.423046320225334e-19
PDE10A,0.78223705,0.5820626,0.42643088,2.3065326016662097e-20,8.4201902213355565e-19
RGS6,1.1087109,1.2487048,-0.17154911,2.6478515556569533e-20,9.628737711307572e-19
B3GALNT2,0.73105407,0.6048526,0.27339405,2.759758162676615e-20,9.996930919780694e-19
COL23A1,0.6386429,0.7968071,-0.3192206,2.8439858390924485e-20,1.0262413516294368e-18
CFLAR,1.7833549,1.885834,-0.080608785,3.121273940356974e-20,1.1219843719704646e-18
SPON1,0.20148003,0.08052446,1.3231273,3.560970413362092e-20,1.275153603746685e-18
SYNE2,0.7279035,0.8539711,-0.23043981,4.729937859007724e-20,1.6873109122893714e-18
CCN1,0.22940445,0.09687964,1.2436194,5.112253895773627e-20,1.816786592808643e-18
WWOX,0.7556403,0.9446547,-0.322087,5.141221208420825e-20,1.8201863161284597e-18
PDZD2,2.3687296,2.522685,-0.09084666,5.1427068440342656e-20,1.8138675041627625e-18
SAT1,1.2506995,1.0989358,0.18662791,7.607838191749364e-20,2.67328606423193e-18
CLIP1,0.6808018,0.52175,0.3838756,8.709208417488413e-20,3.0488728870476228e-18
LRRFIP1,1.4819635,1.3184316,0.16868705,9.644229773857103e-20,3.3636492096032464e-18
GRK3,0.20207638,0.31900248,-0.65866435,1.0565068621542158e-19,3.671165696566982e-18
PROS1,0.45691904,0.31308568,0.54537964,2.1080228919787895e-19,7.297959694666054e-18
MSRB3,1.3758551,1.229985,0.1616877,3.361921877735434e-19,1.159615847680656e-17
AKAP13,2.7650437,2.5839362,0.09773183,3.4104030924293533e-19,1.172029370445868e-17
PIP5K1B,1.1824665,1.3282242,-0.16769922,3.44235044917941e-19,1.1786909457737673e-17
MSN,0.3725058,0.2482415,0.5855168,3.583452946150525e-19,1.2225438378466992e-17
WIPI1,0.88191044,0.764601,0.20592482,4.784740831712508e-19,1.6264651624321287e-17
PAM,2.0908115,1.9320625,0.113921165,4.810993001269896e-19,1.629485066350692e-17
NID1,0.67536694,0.50659716,0.41483182,5.125634650613011e-19,1.729809506908319e-17
LINC00881,0.32538447,0.47627285,-0.5496416,5.343875626840026e-19,1.7969978900004705e-17
ACTG1,0.7183828,0.58804965,0.28881434,6.019794316866707e-19,2.0170610814586942e-17
ENSG00000259639,0.33073232,0.22899602,0.5303396,6.330198767824225e-19,2.1135204569297822e-17
NEK10,0.6273224,0.77007854,-0.29579815,6.720553702703776e-19,2.2358948524385398e-17
ABHD18,1.0130818,1.1596755,-0.19497032,1.3483796958711913e-18,4.4701407444040694e-17
ENSG00000234352,0.8562711,1.0282785,-0.26409113,1.4390552277809202e-18,4.753949347549505e-17
NEBL,2.5988169,2.6787913,-0.04372716,1.5616640611831306e-18,5.1408884989544324e-17
MIR4435-2HG,0.55031914,0.3949759,0.4785028,2.320821812858056e-18,7.613269317564434e-17
DYNLT1,0.46581894,0.35899577,0.37580156,2.4044693432390566e-18,7.860185149222589e-17
ANO5,0.8236042,0.955627,-0.21449617,2.59633083006669e-18,8.457908280446419e-17
FSIP1,0.1843308,0.077934824,1.2419465,3.406816625987403e-18,1.1059776326994399e-16
NRP1,0.82069784,0.9763401,-0.25053236,3.79110708459574e-18,1.2264885057819734e-16
CNN1,0.18035343,0.057476837,1.6497574,4.012963693371538e-18,1.2938015591481708e-16
PACS1,0.8877698,0.73416024,0.27409035,5.684862340390408e-18,1.8265540574500961e-16
PACRG,1.1894274,1.2980813,-0.12611344,6.487235387884954e-18,2.0772437682299196e-16
FYB2,0.59696144,0.7565229,-0.3417455,6.537489164548817e-18,2.0862150796529592e-16
GALNT17,2.024542,1.8785948,0.10794175,6.7033304031843654e-18,2.131886299751719e-16
DPH6-DT,0.52994555,0.6664446,-0.33064026,6.8056856561882355e-18,2.1571264468364195e-16
