gene,mean_vcm3,mean_rest,log2fc,pval,fdr
ENSG00000251216,0.06730536,0.07329863,-0.12306309,0.35828169998996084,0.6843238821876654
ZUP1,0.0882851,0.08368867,0.077136755,0.3582943870130775,0.6842088212816391
DYNC2I2,0.113401435,0.109051876,0.056423903,0.3587712613529861,0.6849800516918428
ELAVL1,0.19382776,0.1905011,0.024975777,0.358885552826671,0.6850588518046444
UFD1,0.07628936,0.07230868,0.07731199,0.3590089407347259,0.6851549800596417
VWC2,0.68967265,0.70147073,-0.024471104,0.3592630586138674,0.6855005116768974
NCOA2,1.1586152,1.1522309,0.007971734,0.3595935807945083,0.6859916581972504
ZCCHC9,0.13250403,0.14253709,-0.10530019,0.3597498280401479,0.6861502107486618
BAZ2A,0.19001028,0.20050949,-0.07759261,0.3600079109931592,0.6865028904345162
GTF2IRD2,0.23343791,0.24588028,-0.07491684,0.36014972432462367,0.6866337560686079
NDUFS5,0.19465627,0.19965053,-0.0365479,0.3602206441404233,0.6866294358645777
RIMKLB,0.15181148,0.13469876,0.17254305,0.3602497419854642,0.6865454152564748
SMIM10L1,0.0812402,0.08003489,0.021564484,0.36027156633752033,0.6864475701418797
SPATC1,0.123221226,0.13530974,-0.13501382,0.36052442556561004,0.686789880336356
CDH26,0.047459383,0.054810293,-0.20774937,0.36086113754151283,0.6872917564787806
HAUS6,0.071397,0.07737169,-0.11594081,0.36115979306525103,0.6877209617491751
PRPSAP2,0.20635626,0.22129348,-0.1008234,0.3611670792823285,0.6875952795914785
RSPH3,0.17731039,0.1866958,-0.07441187,0.36135655328352956,0.6878164298855902
PPP4R3A,0.3539322,0.35232732,0.00655663,0.3613893531867375,0.6877393329813328
TMEM14C,0.058285385,0.06741039,-0.20983362,0.36191622941945867,0.6886023249672198
IKZF2,0.3060436,0.32054785,-0.06680238,0.3619235251997598,0.6884765842303622
NDUFB10,0.14343242,0.15908836,-0.14945602,0.36218258510900203,0.6888297209593872
TH2LCRR,0.124521,0.12495364,-0.005003929,0.36255495895083045,0.6893981809640639
CHRM5,0.0721055,0.070507124,0.03233981,0.36275036850341547,0.6896299812156117
C1QTNF1-AS1,0.048823256,0.06642475,-0.44414473,0.36281612859610246,0.6896152590130942
EFCAB11,0.047869973,0.06167171,-0.3654809,0.36320353384584025,0.6902117793278657
PRKACB-DT,0.097792864,0.10613083,-0.118041754,0.36327117354953964,0.6902005164523655
FAM182B,0.13051221,0.15246911,-0.22433066,0.3633936763150317,0.690293474627987
LINC01695,0.034856863,0.052234016,-0.5835328,0.3634211058480161,0.6902058330093295
DSC1,0.04514139,0.061503302,-0.4462042,0.3634741399514898,0.6900970112364418
ZNF717,0.21432528,0.22337866,-0.059689045,0.3634741399514898,0.6900970112364418
SND1,0.4831575,0.482286,0.0026046038,0.36348145538021004,0.6899014797445137
RNF126,0.07739988,0.07252761,0.09379983,0.36361497813416443,0.6900153165159245
