percentile,cm_score_cutoff,n_cells,n_donors,n_dcm_donors,n_donor_donors,mean_auc,std_auc,fold_aucs
50,0.4075390883854457,134897,45,18,27,0.9241272428230026,0.011013455356588384,"[0.9067308430915769, 0.9318399083899411, 0.9387504289065288, 0.9246844292202543, 0.9186306045067112]"
60,0.6978374588246248,107918,44,17,27,0.9226164898771818,0.025446047332965863,"[0.8840954924649023, 0.9270222665065152, 0.9065434715327164, 0.9581139003374414, 0.9373073185443334]"
70,1.063108604976109,80938,42,15,27,0.9339892501147242,0.03545328536876632,"[0.9510970049439784, 0.9365690563102116, 0.8650052675311259, 0.9562407861620166, 0.9610341356262884]"
80,1.7117191883009328,53959,39,14,25,0.9413318059572809,0.03942484698890546,"[0.8683713162673345, 0.9745814366323972, 0.9773942840803791, 0.9473787996616545, 0.9389331931446396]"
90,2.601163933666385,26980,38,13,25,0.9652420834152924,0.007186460588541773,"[0.9613334544463621, 0.9615463660251611, 0.9761516280765357, 0.9563503531393767, 0.9708286153890255]"
95,2.935320957461182,13490,38,13,25,0.9496847010536337,0.025070677016788133,"[0.9524397520830339, 0.9727796671173395, 0.9782147137247096, 0.9349279284106741, 0.9100614439324117]"
