percentile,cm_score_cutoff,n_cm_cells,pct_cells_kept,n_donors_cm,n_dcm_donors,n_donor_donors,dcm_mean_stress,dcm_sd_stress,donor_mean_stress,donor_sd_stress,wilcoxon_stat,pval
50,0.4075390883854457,134897,50.0,45,18,27,0.3280780906875302,0.25715802211605904,0.28899874800231046,0.2640703405399645,1.0657403385139377,0.28654103732057135
60,0.6978374588246248,107918,40.000148261266006,44,17,27,0.4684639029122334,0.2469700335699318,0.3456253200683212,0.32445261913739004,2.012632580873088,0.04415329676653544
70,1.063108604976109,80938,29.999925869366997,42,15,27,0.5698234606067999,0.2624370783561828,0.36307779717239275,0.3885893635530837,2.690622372440372,0.007131887316470418
80,1.7117191883009328,53959,20.000074130633003,39,14,25,0.5958117261085204,0.28213491223005704,0.42163425281216843,0.4505203776875481,2.2543291685111115,0.0241754676483771
90,2.601163933666385,26980,10.000222391899005,38,13,25,0.7559995153678496,0.31456087711262837,0.5051291844098575,0.44147329179945305,2.476923076923077,0.013252045979163503
95,2.935320957461182,13490,5.000111195949502,38,13,25,0.7155540772348103,0.3299322381157146,0.4811021511184312,0.45601997266930416,2.4153846153846152,0.015718601837769734
