percentile,n_cells,n_donors,n_dcm_donors,n_donor_donors,mean_auc,std_auc
50,110376,38,13,25,0.9194500307619078,0.03067811216022883
60,88301,38,13,25,0.9084277764284042,0.03157230278209616
70,66226,38,13,25,0.9263918963940865,0.03811283368034954
80,44151,38,13,25,0.9369902010688189,0.06440549383817856
90,22076,38,13,25,0.930085877244486,0.051033816901855426
95,11038,38,13,25,0.9216720530869299,0.04242593361355908
