gene_symbol
SAMD11
TNFRSF18
TNFRSF4
MXRA8
LINC01770
VWA1
PLCH2
HES5
TNFRSF14
MIR34AHG
NPPA
NPPB
TNFRSF1B
AADACL4
PRAMEF12
PRAMEF8
PRAMEF15
KAZN
SRARP
LINC01783
NBL1
PLA2G2A
PLA2G5
CAMK2N1
SH2D5
RAP1GAP
HTR1D
E2F2
ID3
RCAN3
RUNX3
IFI6
TMEM200B
LAPTM5
KHDRBS1
GJA4
CSF3R
MANEAL
POU3F1
HEYL
TIE1
BTBD19
HPDL
CYP4X1
PDZK1IP1
TAL1
AGBL4
PODN
SLC1A7
LINC01767
DAB1
JUN
LINC01748
NFIA-AS2
FOXD3-AS1
FOXD3
ROR1
SGIP1
GADD45A
LINC01707
LRRC7
PTGER3
NEGR1
SLC44A5
ST6GALNAC3
ST6GALNAC5
PTGFR
IFI44L
IFI44
ADGRL4
DDAH1
COL24A1
PKN2-AS1
GBP3
GBP1
GBP2
GBP5
BARHL2
GPR88
VCAM1
VAV3
SPATA42
PSRC1
LINC01397
CD53
DENND2D
TSHB
NGF
NHLH2
LINC01779
TBX15
HAO2
FAM72D
FMO5
S100A11
TCHH
LCE5A
SPRR2E
S100A7
NPR1
NUP210L
TPM3
SHE
TDRD10
KCNN3
SH2D2A
PEAR1
FCRL1
CD5L
KIRREL1
CD1A
CD1C
OR6Y1
SPTA1
MNDA
IFI16
AIM2
CADM3
CADM3-AS1
ACKR1
FCRL6
SLAMF6
CD84
ITLN1
F11R
ADAMTS4
FCGR2A
HSPA6
FCGR2B
RGS4
RGS5
LINC01675
DPT
NME7
FMO2
DNM3
DNM3OS
FASLG
ANKRD45
KLHL20
CENPL
TNR
LINC01645
XPR1
CACNA1E
RGS16
HMCN1
PRG4
PTGS2
PACERR
PLA2G4A
LINC01036
BRINP3
RGS18
RGS1
KCNT2
CFH
ATP6V1G3
PTPRC
NR5A2
IGFN1
PKP1
NAV1
IPO9-AS1
ELF3
SYT2
BTG2
FMOD
PRELP
SOX13
NFASC
AVPR1B
CD34
G0S2
SERTAD4
TRAF5
ATF3
CENPF
TGFB2
HLX
LINC02474
LINC01705
LEFTY2
STUM
ITPKB
ITPKB-AS1
PRSS38
ACTA1
PCNX2
SLC35F3
NID1
LINC01139
CHRM3-AS2
AKT3
KIF26B
NLRP3
OR13G1
TPO
PXDN
MYT1L
ALLC
NRIR
CMPK2
RSAD2
ID2
MBOAT2
ASAP2
NT5C1B
MATN3
GDF7
ADCY3
AGBL5-AS1
EMILIN1
TOGARAM2
LINC00486
LTBP1
CRIM1
FEZ2
VIT
OXER1
HAAO
PLEKHH2
NRXN1
RTN4
CCDC85A
LINC01122
PELI1
CNRIP1
PLEK
CLEC4F
NAT8
LBX2
LBX2-AS1
LOXL3
DOK1
LRRTM4
LRRTM1
ST3GAL5
ST3GAL5-AS1
LINC01955
FOXI3
EIF2AK3
IGKC
IGKV4-1
TRIM43
GPAT2
ADRA2B
CNNM3-DT
AFF3
LINC01127
IL1R2
ST6GAL2
SH3RF3
MALL
MIR4435-2HG
IL1A
IL1B
LINC01961
EN1
CNTNAP5
LINC01941
LRP1B
KYNU
ARHGAP15
TEX41
NMI
TNFAIP6
NEB
FMNL2
KCNJ3
LINC01876
CYTIP
FAP
IFIH1
SLC38A11
SCN3A
SCN7A
XIRP2
NOSTRIN
SPC25
ABCB11
LRP2
DLX1
DLX2
SP9
HOXD-AS2
HOXD9
HOXD3
HAGLROS
LINC01116
LINC01117
ZNF385B
ITGA4
PDE1A
ZNF804A
FAM171B
CALCRL
TFPI
GULP1
COL3A1
COL5A2
STAT4
MYO1B
RFTN2
CASP10
CD28
CTLA4
ICOS
NRP2
INO80D
CRYGA
MAP2
MYL1
FN1
LINC00607
IGFBP5
DIRC3
GPBAR1
SLC11A1
WNT10A
FEV
EPHA4
PAX3
SERPINE2
COL4A4
PID1
DNER
ECEL1
INPP5D
COL6A3
KIF1A
NEU4
RTP5
LINC01266
ITPR1
BHLHE40
LMCD1-AS1
LMCD1
CIDEC
IL17RC
LINC00606
SLC6A1-AS1
FBLN2
SLC6A6
FGD5
ZNF385D
ZNF385D-AS2
EOMES
RBMS3
RBMS3-AS2
OSBPL10-AS1
CMTM8
DCLK3
XIRP1
CX3CR1
CCDC13-AS1
CLEC3B
XCR1
CCR1
CCR2
CCR5
LINC02009
ZMYND10
CYB561D2
GPR62
SEMA3G
STAB1
CACNA1D
ERC2
FLNB
DNASE1L3
CADPS
LINC00698
SYNPR
ADAMTS9
ADAMTS9-AS2
FRMD4B
ROBO2
ROBO1
GBE1
LINC02008
CADM2
VGLL3
HTR1F
EPHA3
PROS1
COL8A1
FILIP1L
ABI3BP
ALCAM
HHLA2
NECTIN3-AS1
SLC9C1
CD200
CCDC80
CD200R1
BOC
GAP43
IGSF11
PLA1A
STXBP5L
POLQ
HCLS1
CD86
PARP14
MUC13
MGLL
RPN1
GP9
PLXND1
CPNE4
TMEM108
SLCO2A1
LINC01391
FOXL2NB
CLSTN2
ATP1B3
CHST2
SLC9A9
PLSCR4
PLSCR1
PLSCR5
LINC02010
ZIC1
AGTR1
CPB1
CPA3
TM4SF18
TM4SF1
TM4SF4
WWTR1
MME-AS1
KCNAB1
KCNAB1-AS1
LINC00881
IQCJ-SCHIP1
OTOL1
MECOM
TNFSF10
LINC01208
LINC00578
KCNMB2
KCNMB2-AS1
CHRD
TMEM41A
RTP4
CLDN1
UTS2B
FGF12
FGF12-AS1
HES1
LINC02048
APOD
LINC01063
NRROS
SPON2
FGFR3
OTOP1
MSX1
CYTL1
HMX1
DEFB131A
LINC01182
C1QTNF7
CD38
FGFBP2
LDB2
SLIT2
KCNIP4
PPARGC1A
PCDH7
LINC02506
DTHD1
LINC02505
TLR1
RBM47
APBB2
LINC02475
KCTD8
CORIN
NFXL1
NIPAL1
LNX1
PDGFRA
KIT
KDR
IGFBP7
ADGRL3
UGT2B4
JCHAIN
AFP
AFM
CXCL8
CXCL1
PF4
CXCL3
CXCL2
AREG
PARM1
LINC02483
CXCL10
CXCL11
FRAS1
ANXA3
LINC01088
LINC00989
LINC02469
ANTXR2
RASGEF1B
SCD5
NKX6-1
ARHGAP24
PTPN13
SPARCL1
DMP1
MEPE
SPP1
SNCA
GRID2
BMPR1B-DT
BMPR1B
UNC5C
STPG2
TSPAN5
ADH1B
C4orf54
EMCN
PPP3CA
LEF1
COL25A1
CFI
ENPEP
PITX2
NEUROG2
PDE5A
NDNF
LINC01091
PCDH10
PABPC4L
PCDH18
SLC7A11
LINC00498
LINC00499
MAML3
INPP4B
LINC02266
LINC01095
EDNRA
FHDC1
TLR2
FGB
FNIP2
NPY1R
CPE
TLL1
SPOCK3
SH3RF1
LINC01612
LINC02431
GALNTL6
WDR17
ASB5
VEGFC
LINC01098
LINC01099
TENM3
STOX2
PDLIM3
LINC02515
LINC01060
DUX4
OTULINL
LINC02150
MYO10
LINC02211
PURPL
CDH6
PDZD2
LINC02160
ADAMTS12
GDNF
EGFLAM
EGFLAM-AS4
EGFLAM-AS2
EGFLAM-AS1
FYB1
PTGER4
C7
GHR
ANXA2R
HCN1
PARP8
ITGA1
FST
ESM1
GZMK
LINC01948
GAPT
PDE4D
ADAMTS6
LINC02242
MAP1B
MRPS27
ZNF366
TMEM171
TMEM174
ARHGEF28
ENC1
IQGAP2
F2RL2
F2R
OTP
RASGRF2-AS1
RASGRF2
XRCC4
VCAN
EDIL3
ARRDC3
LINC02058
NR2F1
ELL2
LINC01340
ST8SIA4
SLCO4C1
SLCO6A1
LINC01950
CAMK4
NREP
LINC02200
LINC02147
LINC02208
PRR16
SNCAIP
LINC01170
SLC27A6
CHSY3
SOWAHA
CXCL14
TGFBI
TRPC7-AS2
SPOCK1
EGR1
CD14
PCDHB7
PCDHB10
FCHSD1
ARAP3
PCDH12
PRELID2
GRXCR2
SH3RF2
PPP2R2B
DPYSL3
HTR4
CARMN
CSF1R
PDGFRB
CD74
NDST1
IRGM
SPARC
CLMAT3
LINC01933
LINC01470
ADAM19
EBF1
LINC02202
MIR3142HG
GABRG2
SLIT3
LINC01187
LCP2
KCNIP1
DUSP1
C5orf47
NSG2
LINC01411
DRD1
FGFR4
COL23A1
FLT4
BTNL8
BTNL9
LINC01394
FOXC1
LINC02521
SERPINB9
NRN1
F13A1
LY86-AS1
BMP6
TFAP2A-AS1
EDN1
PHACTR1
CD83
MIR548A1HG
ID4
CASC15
NBAT1
CARMIL1
SLC17A1
SLC17A3
TRIM38
BTN3A2
BTN3A3
HCG15
TRIM10
HLA-E
HCG22
HLA-B
TNF
LST1
NCR3
HSPA1A
HSPA1B
TNXB
PRRT1
NOTCH4
HLA-DRA
HLA-DRB5
HLA-DRB1
HLA-DQA1
HLA-DQB1
HLA-DOB
HLA-DMB
HLA-DOA
HCG24
FKBP5
PANDAR
CDKN1A
CPNE5
PI16
FGD2
TBC1D22B
LINC02520
BTBD9-AS1
KCNK16
TREML4
TRERF1
HSP90AB1
ADGRF5
OPN5
PTCHD4
C6orf141
RHAG
TFAP2B
GSTA3
HMGCLL1
BMP5
EYS
ADGRB3
COL12A1
ELOVL4
TENT5A
LINC02542
TPBG
SNAP91
MRAP2
TBX18
BACH2
FHL5
GRIK2
PRDM1
LINC02532
CD24
SLC16A10
MARCKS
HDAC2-AS2
CALHM5
FAM162B
PLN
MAN1A1
NKAIN2
ARHGAP18
EPB41L2
TAAR2
VNN2
LINC00326
PDE7B
TNFAIP3
ECT2L
LINC01625
STXBP5-AS1
SASH1
ULBP1
PLEKHG1
AKAP12
MYCT1
VIP
ZDHHC14
PDE10A
FRMD1
SMOC2
LINC01615
THBS2
LFNG
SDK1
ACTB
FSCN1
RNF216
AIMP2
NXPH1
THSD7A
DGKB
AGMO
MEOX2
