percentile,n_cells,n_donors,n_dcm_donors,n_donor_donors,mean_auc,std_auc
50,109244,37,11,26,0.8812585804382401,0.0337375738486515
60,87395,37,11,26,0.8711314462859727,0.05654505043411848
70,65547,35,9,26,0.9150536246380622,0.05063617060895424
80,43698,33,9,24,0.9278080565355719,0.017139473971850318
90,21849,32,8,24,0.9267082908621547,0.016174090279228056
95,10925,32,8,24,0.8559727131992727,0.0669083578296843
